OrderID,OrderDate,CustomerID,CustomerName,Email,Region,Country,ProductCategory,ProductName,Quantity,UnitPrice,Discount,ShippingCost,PaymentMethod,OrderStatus,SignupDate,order_before_signup
ORD-11575,2023-11-07,CUST1647,Molly Rodriguez,molly.rodriguez57@gmail.com,East,Canada,Home & Kitchen,LED Desk Lamp,5.0,161.22,0.2,19.07,Debit Card,Shipped,2021-10-05,False
ORD-11937,2024-01-22,CUST1725,Rebecca Marquez,rebecca.marquez30@gmail.com,South,Canada,Electronics,Webcam,2.0,28.8,0.15,4.91,Paypal,Delivered,2022-06-26,False
ORD-12847,,CUST1491,Heather Bolton,heather.bolton70@yahoo.com,North,Canada,Beauty,Hair Dryer,3.0,47.02,0.0,18.56,Gift Card,Shipped,2023-08-23,False
ORD-10139,2024-11-05,CUST1667,Tammy Boone,tammy.boone17@gmail.com,Central,Canada,Electronics,USB-C Cable,1.0,204.118,0.0,24.16,Debit Card,Delivered,2023-03-05,False
ORD-13107,2024-05-01,CUST1002,Angie Henderson,angie@gmail.com,Central,Canada,Home & Kitchen,LED Desk Lamp,4.0,49.28,0.0,14.22,Debit Card,Pending,2022-04-22,False
ORD-10292,2024-03-08,CUST1636,Timothy Johnson,timothy.johnson43@yahoo.com,North,Canada,Apparel,Wool Sweater,5.0,43.27,0.05,11.23,Debit Card,Delivered,2021-01-06,False
ORD-10566,2023-08-17,CUST1078,Steve Sanchez,steve.sanchez19@gmail.com,West,Canada,Sports & Outdoors,Hiking Backpack,1.0,114.25,0.2,0.69,Credit Card,Pending,2021-04-05,False
ORD-11868,2023-03-26,CUST1447,Shelly Spencer,shelly.spencer86@hotmail.com,East,Canada,Electronics,Laptop Stand,3.0,66.39,0.25,17.88,Debit Card,Returned,2023-12-17,True
ORD-11303,2023-04-24,CUST1739,Linda Gonzalez,linda.gonzalez75@yahoo.com,Central,United States,Toys,Puzzle 1000PC,4.0,59.14,0.2,0.34,Credit Card,Pending,2024-06-30,True
ORD-12147,2024-09-01,CUST1552,Diana Hays,diana.hays94@outlook.com,North,Mexico,Sports & Outdoors,Hiking Backpack,5.0,119.39,0.25,8.0,Debit Card,Pending,2021-09-18,False
ORD-10373,2024-03-11,CUST1676,Kristen Rowe,kristen.rowe27@gmail.com,North,Canada,Home & Kitchen,LED Desk Lamp,1.0,142.35,0.0,22.52,Debit Card,Shipped,2023-01-05,False
ORD-11850,,CUST1233,Laura Roberts,laura.roberts73@outlook.com,South,United States,Beauty,Hair Dryer,1.0,43.4,0.15,2.0,Debit Card,Pending,2024-08-07,False
ORD-12099,2023-12-17,CUST1541,Sean Moore,sean.moore95@gmail.com,West,United States,Sports & Outdoors,Yoga Mat,6.0,106.41,0.0,17.99,Credit Card,Shipped,2022-03-26,False
ORD-11312,2024-09-27,CUST1782,Chelsea Nguyen,chelsea.nguyen79@outlook.com,East,United States,Toys,Building Blocks Set,3.0,12.62,0.0,15.34,Debit Card,Shipped,2022-01-19,False
ORD-13071,2024-07-01,CUST1131,Dustin Jordan,dustin.jordan30@outlook.com,West,Canada,Beauty,Face Moisturizer,5.0,41.23,0.2,9.36,Paypal,Shipped,2022-08-03,False
ORD-12459,2023-12-06,CUST1804,Kimberly Fritz,kimberly.fritz60@outlook.com,South,Mexico,Electronics,Wireless Earbuds,5.0,74.54,0.0,17.44,Paypal,Pending,2024-01-29,True
ORD-12535,2024-03-28,CUST1115,Diana May,diana.may48@hotmail.com,East,United States,Home & Kitchen,Throw Blanket,4.0,119.86,0.2,16.21,Credit Card,Delivered,2024-02-08,False
ORD-12038,2023-04-17,CUST1155,Michelle Brown,michelle.brown53@gmail.com,West,Mexico,Toys,Action Figure,6.0,59.03,0.25,24.8,Gift Card,Cancelled,2022-10-14,False
ORD-10932,2024-09-08,CUST1461,Eric Williams,eric.williams45@gmail.com,South,United States,Home & Kitchen,LED Desk Lamp,6.0,147.46,0.1,9.31,Debit Card,Delivered,2023-06-19,False
ORD-10105,2024-04-20,CUST1675,Larry Harris,larry.harris21@outlook.com,North,Mexico,Toys,Board Game,5.0,44.76,0.15,18.12,Gift Card,Cancelled,2022-05-29,False
