OrderID,OrderDate,CustomerID,CustomerName,Email,Region,Country,ProductCategory,ProductName,Quantity,UnitPrice,Discount,ShippingCost,PaymentMethod,OrderStatus,SignupDate
11575,11/07/2023,CUST1647,molly rodriguez,molly.rodriguez57@gmail.com,Est,Canada,Home&Kitchen,LED Desk Lamp,5,161.22,0.2,19.07,Debit Card,Shipped,10-05-2021
ORD-11937,01/22/24,CUST1725,Rebecca Marquez,rebecca.marquez30@gmail.com,south,Canada,ELECTRONICS,Webcam,2,28.8,0.15,4.91,paypal,DELIVERED,26-06-2022
ORD-12847,,CUST1491,Heather Bolton,heather.bolton70@yahoo.com,NORTH,canada,BEAUTY,Hair Dryer,-3,47.02,0,18.56,Gift Card,shipped,2023-08-23
10139,2024-11-05,CUST1667,Tammy Boone,tammy.boone17@gmail.com,central,canada,ELECTRONICS,USB-C Cable,1,20411.8,0,24.16,debit card,delivered,03/05/23
13107,"May 01, 2024",CUST1002,Angie Henderson,angie.at.gmail.com,central,Canada,Home and Kitchen,LED Desk Lamp,4,49.28,0,14.22,Debit Card,Pending,"April 22, 2022"
10292,03/08/24,CUST1636,Timothy Johnson,timothy.johnson43@yahoo.com,NORTH,Canada,Appare,Wool Sweater,5,$43.27,0.05,11.23,Debit Card,Delivered,2021-01-06
ORD-10566,17-08-2023,CUST1078,Steve Sanchez,steve.sanchez19@gmail.com,West,canada,Sports and Outdoors,Hiking Backpack,1,114.25,20%,0.69,CC,Pending,04/05/2021
ORD-11868,03/26/23,CUST1447,Shelly Spencer,shelly.spencer86@hotmail.com,Est,canada,ELECTRONICS,Laptop Stand,3,66.39,0.25,17.88,debit card,RETURNED,12/17/23
ORD-11303,24-Apr-2023,CUST1739,Linda Gonzalez,linda.gonzalez75@yahoo.com,central,USA,Toys,Puzzle 1000pc,4,59.14,0.2,0.34,CREDIT CARD,pending,06/30/24
ORD-12147,09/01/24,CUST1552,Diana Hays,diana.hays94@outlook.com,NORTH,Mexico,Sports & Outdoors,Hiking Backpack,5,119.39,0.25,8.0,Debit Card,pending,09/18/2021
10373,03/11/2024,CUST1676,Kristen Rowe,kristen.rowe27@gmail.com,NORTH,canada,home & kitchen,LED Desk Lamp,1,142.35,0,22.52,Debit,Shipped,05-Jan-2023
ORD-11850,unknown,CUST1233,  LAURA ROBERTS  ,laura.roberts73@outlook.com,South,US,Beauty,Hair Dryer,1,43.4,0.15,2.0,Debit Card,pending,08-07-2024
ORD-12099,12/17/23,CUST1541,Sean Moore,sean.moore95@gmail.com,west,USA,Sports & Outdoors,Yoga Mat,6,106.41,0,17.99,CC,shipped,"March 26, 2022"
ORD-11312,27-Sep-2024,CUST1782,Chelsea Nguyen,chelsea.nguyen79@outlook.com,east,United States,TOYS,Building Blocks Set,-3,12.62,0,15.34,Debit,Shipped,"January 19, 2022"
ORD-13071,"July 01, 2024",CUST1131,Dustin Jordan,dustin.jordan30@outlook.com, West ,Canada,beauty,Face Moisturizer,5,$41.23,0.2,9.36,PAYPAL,shipped,08/03/22
ORD-12459,12/06/23,CUST1804,Kimberly Fritz,kimberly.fritz60@outlook.com,Sth,Mexico,Electronic,Wireless Earbuds,5,74.54,0,17.44,PayPal,pending,29-Jan-2024
ORD-12535,03/28/24,CUST1115,Diana May,diana.may48@hotmail.com,East,US,Home and Kitchen,Throw Blanket,4,119.86,0.2,16.21,CC,Deliverd,"February 08, 2024"
ORD-12038,"April 17, 2023",CUST1155,Michelle Brown,michelle.brown53@gmail.com,west,Mexico,Toys,Action Figure,6,59.03,0.25,24.8,Gift Card,Cancelled,10/14/22
10932,08-Sep-2024,CUST1461,Eric Williams,eric.williams45@gmail.com,south,United States,Home and Kitchen,LED Desk Lamp,6,147.46,0.1,9.31,Debit Card,DELIVERED,2023-06-19
ORD-10105,20-Apr-2024,CUST1675,Larry Harris,larry.harris21@outlook.com,NORTH,Mexico,Toys,Board Game,5,44.76,15%,18.12,Gift Card,cancelled,05/29/2022
ORD-11482,03/05/24,CUST1235,Kathryn Snyder,kathryn.snyder46@gmail.com,WEST,Canada,TOYS,Action Figure,4,16.2,,9.43,CREDIT CARD,Canceled,28-Sep-2022
12323,2023-02-07,CUST1217,Mark Brown,mark.brown97@gmail.com, West ,Mexico,Electronic,Wireless Earbuds,2,39.06,0.15,15.3,debit card,DELIVERED,17-06-2021
ORD-10879,"January 14, 2023",CUST1758,Heather Woodard,heather.woodard92@gmail.com,West,US,Toy,Puzzle 1000pc,5,30.43,0,22.65,PayPal,Pending,12/25/21
ORD-10802,"February 11, 2024",CUST1382,Douglas Gregory,douglas.gregory7@outlook.com,Central,canada,sports & outdoors,Camping Tent,3,93.77,5%,2.83,CC,shipped,02/12/23
ORD-12297,"June 24, 2024",CUST1666,David Harris,david.harris75@hotmail.com,Central,United States,Sports and Outdoors,Resistance Bands,2,47.6,15%,7.79,Credit Card,PENDING,11/08/2023
ORD-12809,2023-01-20,CUST1154,Brenda Hall,brenda.hall42@yahoo.com,West,United States,Apparel,Running Shoes,1,11.25,0.25,4.46,Credit_Card,Pending,"May 05, 2022"
11866,2024-06-10,CUST1155,Michelle Brown,michelle.brown53@gmail.com, West ,Mexico,Electronic,Smartwatch,1,116.35,0.15,1.24,PAYPAL,Cancelled,10/14/22
ORD-13129,2023-07-25,CUST1705,James Tran,james.tran87@outlook.com,Centrl,United States,beauty,Sunscreen SPF50,-1,,0.2,,Credit_Card,delivered,"January 23, 2021"
11577,26-Jul-2024,CUST1195,Allen Rosales,allen.rosales31@outlook.com,east,Canada,Apparel,Baseball Cap,1,40.1,25%,16.41,Credit Card,CANCELLED,02/02/2021
ORD-12422,"February 07, 2024",CUST1464,Jose Allen,jose.allen69@yahoo.com,east,USA,Apparel,Baseball Cap,1,60.48,0,19.25,GiftCard,Pending,10/25/22
ORD-10833,21-Mar-2024,CUST1492,William Gould,william.at.gmail.com, North,Canada,Home & Kitchen,LED Desk Lamp,3,31.66,0,23.15,CC,Deliverd,06/21/2022
ORD-11674,01/16/2023,CUST1815,Anna Estes,anna.estes58@outlook.com,south,USA,Home&Kitchen,Air Fryer,5,92.34,0.25,17.56,credit card,SHIPPED,29-Jun-2024
ORD-11285,2024-03-23,CUST1290,David Smith,david.smith58@yahoo.com,Est,Mexico,Sports & Outdoors,Resistance Bands,3,111.66,0,23.77,Debit Card,Returned,2023-07-01
ORD-11262,09-Oct-2024,CUST1072,Brittney Phillips,brittney.phillips53@outlook.com,Est,canada,Toy,RC Car,6,22.18,,1.45,Pay Pal,Pending,04/05/23
11133,"January 09, 2024",CUST1577,Raymond Le,raymond.le87@yahoo.com,South,United States,ELECTRONICS,Smartwatch,1,40.0,5%,10.96,credit card,delivered,04-Sep-2021
12042,10/29/2024,CUST1580,William Evans,william.evans9@gmail.com,WEST,canada,Home&Kitchen,Air Fryer,1,167.04,0,9.72,PayPal,SHIPPED,"March 06, 2023"
ORD-11942,11/19/24,CUST1642,Joshua Rice,joshua.rice94@gmail.com,SOUTH,Canada,home & kitchen,Coffee Maker,3,57.16,0,3.81,Credit_Card,Delivered,03-02-2023
11752,08/03/24,CUST1188,Madison Poole,madison.poole31@outlook.com,EAST,canada,Sports & Outdoors,Hiking Backpack,6,17.23,0.05,4.72,Gift Card,RETURNED,07/23/21
ORD-11021,"March 05, 2023",CUST1026,  JUSTIN BAKER  ,justin.baker69@yahoo.com,West,canada,Home&Kitchen,LED Desk Lamp,two,53.91,0.15,23.57,Gift Card,cancelled,09/20/21
ORD-11697,05/09/24,CUST1413,Joanna Pacheco,joanna.pacheco49@yahoo.com,East,Canada,Apparel,Running Shoes,3,83.23,0,21.07,GiftCard,Cancelled,09-03-2023
11940,2024-11-24,CUST1820,Debra Perry,debra.perry43@gmail.com,east,US,Apparel,Wool Sweater,4,16.37,0,24.33,CREDIT CARD,cancelled,2021-10-27
11311,09/10/23,CUST1746,Michael Henry,michael.henry95@gmail.com,Est,US,sports & outdoors,Water Bottle,4,110.46,0.2,18.29,CREDIT CARD,pending,05/22/2023
ORD-10081,2024-05-30,CUST1259,  MRS. KRISTEN REYES  ,mrs..reyes11@outlook.com,east,Canada,Clothing,Cotton T-Shirt,3,80.14,0.1,1.96,PayPal,PENDING,2022-04-05
10164,24-Oct-2024,CUST1389,  SCOTT WILLIAMS  ,scott.williams6@yahoo.com,East,canada,home & kitchen,Air Fryer,2,32.57,0,24.42,CC,Pending,2021-10-26
12280,"June 05, 2024",CUST1744,Travis Harris,travis.harris17@gmail.com,CENTRAL,US,ELECTRONICS,USB-C Cable,1,52.27,10%,16.57,CC,Canceled,22-Aug-2024
ORD-10065,"March 19, 2023",CUST1446,Brenda Wright,brenda.wright69@yahoo.com,SOUTH,US,Beuty,Shampoo Set,5,37.55,0,16.29,Pay Pal,PENDING,20-01-2023
ORD-11002,18-Jul-2023,CUST1725,Rebecca Marquez,rebecca.marquez30@gmail.com,SOUTH,Canada,Electronis,Smartwatch,6,73.66,0,8.53,Debit,cancelled,26-06-2022
11707,2024-09-08,CUST1554,Robert Morgan,robert.morgan73@gmail.com,East,Mexico,BEAUTY,Sunscreen SPF50,3,51.45,25%,12.49,Pay Pal,returned,10/14/2023
ORD-11681,2024-01-29,CUST1846,Brandi Haney,brandi.haney82@gmail.com,WEST,USA,Appare,Baseball Cap,2,50.75,0,2.04,gift card,Pending,"January 10, 2023"
ORD-10245,2024-10-15,CUST1381,Paul Wilson,paul.wilson11@hotmail.com,Central,Mexico,home & kitchen,Throw Blanket,1,138.22,,15.39,Debit,DELIVERED,2023-01-30
13024,14-Nov-2024,CUST1340,Allison Smith,allison.smith95@yahoo.com,central,United States,Toy,Board Game,5,30.34,0,,Debit,CANCELLED,2022-05-12
ORD-10767,2023-06-09,CUST1638,Maria Fisher,maria.fisher13@outlook.com,west,USA,ELECTRONICS,USB-C Cable,4,106.5,10%,7.48,paypal,delivered,08/12/2024
ORD-10069,04/20/2023,CUST1241,Matthew Moon,matthew.moon47@outlook.com, West ,USA,Home & Kitchen,Throw Blanket,2,33.64,0.15,,Credit Card,Canceled,03-Aug-2022
12671,21-Mar-2023,CUST1155,Michelle Brown,michelle.brown53@gmail.com, West ,Mexico,Beuty,Hair Dryer,5,39.81,0.2,2.82,Debit Card,Cancelled,10/14/22
ORD-11332,2024-11-25,CUST1352,Kerry Chavez DDS,kerry.dds32@gmail.com,Sth,US,TOYS,Board Game,4,1199.9,0,10.88,Debit,RETURNED,19-Jun-2022
ORD-11233,16-02-2024,CUST1240,Andrew Avila,andrew.avila6@yahoo.com,Central,canada,Electronis,Webcam,5,211.17,0.15,16.24,CREDIT CARD,RETURNED,16-Jun-2023
ORD-12291,12/13/23,CUST1734,Steven Stein,steven.stein62@yahoo.com, West ,Canada,Toys,Board Game,5,69.7,0.05,23.01,Debit Card,PENDING,04/24/2024
11435,2024-01-15,CUST1311,victor taylor,victor.taylor7@outlook.com,West,United States,Home&Kitchen,Throw Blanket,5,113.22,0.2,18.72,Debit Card,cancelled,"February 26, 2023"
ORD-11597,11/20/2024,CUST1625,Michael Miller,michael.miller67@outlook.com,south,USA,ELECTRONICS,Laptop Stand,6,52.48,0,9.93,Gift Card,Deliverd,06/08/23
12677,05/29/23,CUST1534,Anthony Gonzales,anthony.gonzales32@outlook.com,Central,US,TOYS,RC Car,2,46.84,5%,11.82,gift card,returned,19-Oct-2023
11930,-,CUST1084,Zachary Ferrell,zachary.ferrell71@hotmail.com, West ,US,Apparel,Wool Sweater,6,76.77,,15.26,Debit Card,Deliverd,11/22/21
ORD-12870,"May 18, 2024",CUST1270,  JASMIN ALVARADO  ,jasmin.alvarado85@gmail.com,East,United States,Electronic,USB-C Cable,1,163.17,0.1,14.02,CC,Cancelled,04/06/24
ORD-12201,2024-09-09,CUST1578,Melissa Bishop,melissa.bishop25@yahoo.com,Nort,Mexico,Sports and Outdoors,Hiking Backpack,1,108.08,0.25,4.57,credit card,RETURNED,29-Mar-2021
11343,"August 06, 2023",CUST1506,Brandon Fleming,brandon.fleming20@yahoo.com,West,United States,Toys,Action Figure,5,55.81,0,12.82,paypal,Delivered,"March 14, 2021"
ORD-10003,20-09-2023,CUST1375,Paul Lewis,paul.lewis19@yahoo.com,east,Canada,Toys,Puzzle 1000pc,3,$64.27,0.2,1.4,Pay Pal,pending,27-04-2023
10488,08/02/2024,CUST1573,Nancy Brown,nancy.brown86@gmail.com,east,canada,Appare,Wool Sweater,-2,24.64,0.2,6.12,CC,DELIVERED,06/25/21
ORD-10264,"April 26, 2023",CUST1578,Melissa Bishop,melissa.bishop25@yahoo.com,North,Mexico,Beuty,Hair Dryer,6,49.98,0,14.38,GiftCard,Pending,29-Mar-2021
ORD-12563,2024-07-20,CUST1125,Erin Edwards,erin.at.gmail.com,CENTRAL,US,Appare,Denim Jacket,3,81.64,0,1.97,Debit,PENDING,2022-05-24
ORD-12088,2024-10-07,CUST1420,George Harper,george.at.gmail.com, West ,USA,Beauty,Lipstick,6,49.19,0,3.28,debit card,Shipped,10-06-2023
